Document_Type,Document_No,Line_No,Location,Item_No,Output_Quantity,Lot_No,Gross_Weight,Tare_Weight,Net_Weight,Shift_No
Output,RPRD-02122/00315,276000,PROD,F1CA02A,800,RPRD-02122/00315-267,15.71,2.33,13.38,2
Output,RPRD-02122/00315,277000,PROD,F1CA02A,800,RPRD-02122/00315-268,15.39,2.34,13.05,2
Output,RPRD-02122/00315,278000,PROD,F1CA02A,800,RPRD-02122/00315-278,15.7,2.34,13.36,2
Output,RPRD-02122/00315,279000,PROD,F1CA02A,800,RPRD-02122/00315-275,15.605,2.34,13.265,2
Output,RPRD-02122/00315,280000,PROD,F1CA02A,800,RPRD-02122/00315-277,15.61,2.34,13.27,2
Output,RPRD-02122/00315,281000,PROD,F1CA02A,800,RPRD-02122/00315-279,15.665,2.34,13.325,2
Output,RPRD-02122/00315,282000,PROD,F1CA02A,800,RPRD-02122/00315-269,15.535,2.34,13.195,2
Output,RPRD-02122/00315,283000,PROD,F1CA02A,800,RPRD-02122/00315-264,15.6,2.34,13.26,2
Output,RPRD-02122/00315,284000,PROD,F1CA02A,800,RPRD-02122/00315-263,15.69,2.34,13.35,2
Output,RPRD-02122/00315,285000,PROD,F1CA02A,800,RPRD-02122/00315-261,15.825,2.35,13.475,2
Output,RPRD-02122/00315,286000,PROD,F1CA02A,800,RPRD-02122/00315-260,15.78,2.35,13.43,2
Output,RPRD-02122/00315,287000,PROD,F1CA02A,800,RPRD-02122/00315-262,15.88,2.34,13.54,2
Output,RPRD-02122/00315,288000,PROD,F1CA02A,800,RPRD-02122/00315-265,15.7,2.356,13.344,2
Output,RPRD-02122/00315,289000,PROD,F1CA02A,800,RPRD-02122/00315-266,15.6,2.356,13.244,2
Output,RPRD-02122/00315,290000,PROD,F1CA02A,800,RPRD-02122/00315-276,15.625,2.35,13.275,2
Output,RPRD-02122/00315,291000,PROD,F1CA02A,800,RPRD-02122/00315-274,15.62,2.35,13.27,2
Output,RPRD-02122/00315,292000,PROD,F1CA02A,800,RPRD-02122/00315-273,16.63,2.34,14.29,2
Output,RPRD-02122/00315,293000,PROD,F1CA02A,800,RPRD-02122/00315-272,16.67,2.356,14.314,2
Output,RPRD-02122/00315,294000,PROD,F1CA02A,800,RPRD-02122/00315-271,15.635,2.33,13.305,2
Output,RPRD-02122/00315,295000,PROD,F1CA02A,800,RPRD-02122/00315-270,15.615,2.39,13.225,2
Output,RPRD-02122/00315,296000,PROD,F1CA02A,800,RPRD-02122/00315-281,15.82,2.34,13.48,2
